Item Code,Product,Unit,Unit,Rate
29.01.01,Single layer brick flat soling road.,Per Sqm,Per Sqm,28.91415351
29.02.01,Herring Bone Bond (HBB) road over a single layer brick flat soling.,Per Sqm,Per Sqm,47.20004511
29.02.02,Bituminous road over khoa consolidation.,Per Sqm,Per Sqm,68.32454082
29.02.03,Cement Concrete road.,Per Sqm,Per Sqm,188.8001804
29.02.04,RCC Road.,Per Sqm,Per Sqm,378.9206419
29.03.01,Layout and marking for earthwork in excavation in foundation accepted by the Engineer-in-charge. [Plinth area of the structure shall be considered for measurement],Per Sqm,Per Sqm,18
29.03.02,"Earth work exacavation in  trenches for installation of pipe line, thurst blocks, sluice valves chamber etc. in/c. removal of any obstacles  upto required depth including protecting and mantaining the trench at any sorts of clay. ",Per Cum,Per Cum,78.4299195
29.04.01,"Sand Filling in Excavation trenches and inside plinth by supplying sand (minimum FM 0.80) free from clay, vegetation and other organic matter and filling and compacting in layers by sprinkling water, dressing and leveling etc. in 150 mm thick pipe bedding surround and (a) for pipes in road verges to a height of 150 mm above the top of the pipe and (b) for pipes in roads pavement/ road crossing upto the bottom of the original road structure etc. all complete as per direction of Engineer-in-Charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit). ",Per Cum,Per Cum,744
29.04.02,"Backfilling with earth of the trench above pipe zone (from 150mm above the top of the pipe to road surface) including watering and compacting in layers not exceeding 150mm  all complete as per direction of Engineer-in-Charge.   (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit). ",Per Cum,Per Cum,76.6875883
29.05.01,"100 mm /4"" dia. uPVC pipe, wall thickness 3.40 mm - 4.00mm, conforming to BS 3505, Class-B.",Per Meter,Per Meter,391.2170878
29.05.02,"150 mm /6"" dia. uPVC pipe, wall thickness 4.50 mm - 5.20mm, conforming to BS 3505, Class-B.",Per Meter,Per Meter,832.7422799
29.05.03,"200 mm /8"" dia. uPVC pipe, wall thickness 5.30 mm - 6.10 mm.,  conforming to BS 3505, Class-B.",Per Meter,Per Meter,1295.740443
29.05.04,"250 mm /10"" dia. uPVC pipe, wall thickness 6.60 mm - 7.60 mm,  conforming to BS 3505, Class-B.",Per Meter,Per Meter,2063.859305
29.05.05,"300 mm /12"" dia. uPVC pipe, wall thickness 7.80 mm - 9.00 mm, conforming to BS 3505, Class-B.",Per Meter,Per Meter,3071.452923
