Item Code,Product,Variant,Unit,Unit,Rate,Product Category
.13.01.01,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf door shutter having top rail style of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. Closed joints with 25 mm x 12 mm size wooden peg and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle,1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Kathal wood,Per Sqm,Per Sqm,7881.75544314648,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.01.02,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf door shutter having top rail style of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. Closed joints with 25 mm x 12 mm size wooden peg and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle,1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",For Gamari,Per Sqm,Per Sqm,6660.65654461684,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.01.03,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf door shutter having top rail style of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. Closed joints with 25 mm x 12 mm size wooden peg and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle,1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Teak Chambal wood,Per Sqm,Per Sqm,10323.9532402058,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.01.04,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf door shutter having top rail style of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. Closed joints with 25 mm x 12 mm size wooden peg and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle,1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chittagong Teak wood,Per Sqm,Per Sqm,12257.3598295444,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.01.05,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf door shutter having top rail style of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. Closed joints with 25 mm x 12 mm size wooden peg and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle,1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chapalish wood,Per Sqm,Per Sqm,7983.51368469062,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.01.06,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf door shutter having top rail style of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. Closed joints with 25 mm x 12 mm size wooden peg and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle,1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Burma Teak wood,Per Sqm,Per Sqm,16734.7224574864,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.02.01,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf flush door shutter having a frame of top, lock and bottom rail of sections 100 mm x 12 mm styles 100 mm x 38 mm covered with 100 mm x 12 mm plank, screwed to each face and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Kathal wood,Per Sqm,Per Sqm,6715.9473359875,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.02.02,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf flush door shutter having a frame of top, lock and bottom rail of sections 100 mm x 12 mm styles 100 mm x 38 mm covered with 100 mm x 12 mm plank, screwed to each face and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Gamari Wood,Per Sqm,Per Sqm,5629.71030947901,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.02.03,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf flush door shutter having a frame of top, lock and bottom rail of sections 100 mm x 12 mm styles 100 mm x 38 mm covered with 100 mm x 12 mm plank, screwed to each face and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Teak Chambal wood,Per Sqm,Per Sqm,8888.42138900447,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.02.04,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf flush door shutter having a frame of top, lock and bottom rail of sections 100 mm x 12 mm styles 100 mm x 38 mm covered with 100 mm x 12 mm plank, screwed to each face and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chittagong Teak wood,Per Sqm,Per Sqm,10608.2966809762,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
